2017-11-29 12:56:59,267-DEBUG-database connection established 
2017-11-29 12:57:18,552-INFO-Opening Webcam window 
 
2017-11-29 12:57:18,723-INFO-Opening Webcam window 
 
2017-11-29 12:57:18,894-INFO-Opening Webcam window 
 
2017-11-29 12:57:19,066-INFO-Opening Webcam window 
 
2017-11-29 12:57:19,282-INFO-Opening Webcam window 
 
2017-11-29 12:57:19,456-INFO-Opening Webcam window 
 
2017-11-29 12:57:19,630-INFO-Opening Webcam window 
 
2017-11-29 12:57:19,801-INFO-Opening Webcam window 
 
2017-11-29 12:57:19,973-INFO-Opening Webcam window 
 
2017-11-29 12:57:20,145-INFO-Opening Webcam window 
 
2017-11-29 12:57:20,319-INFO-Opening Webcam window 
 
2017-11-29 12:57:20,556-INFO-Opening Webcam window 
 
2017-11-29 12:57:20,740-INFO-Opening Webcam window 
 
2017-11-29 12:57:20,911-INFO-Opening Webcam window 
 
2017-11-29 12:57:21,112-INFO-Opening Webcam window 
 
2017-11-29 12:57:21,312-INFO-Opening Webcam window 
 
2017-11-29 12:57:21,486-INFO-Opening Webcam window 
 
2017-11-29 12:57:21,661-INFO-Opening Webcam window 
 
2017-11-29 12:57:21,835-INFO-Opening Webcam window 
 
2017-11-29 12:57:22,071-INFO-Opening Webcam window 
 
2017-11-29 12:57:22,311-INFO-Opening Webcam window 
 
2017-11-29 12:57:22,513-INFO-Opening Webcam window 
 
2017-11-29 12:57:22,746-INFO-Opening Webcam window 
 
2017-11-29 12:57:22,930-INFO-Opening Webcam window 
 
2017-11-29 12:57:23,177-INFO-Opening Webcam window 
 
2017-11-29 12:57:23,417-INFO-Opening Webcam window 
 
2017-11-29 12:57:23,651-INFO-Opening Webcam window 
 
2017-11-29 12:57:23,882-INFO-Opening Webcam window 
 
2017-11-29 12:57:24,081-INFO-Opening Webcam window 
 
2017-11-29 12:57:24,256-INFO-Opening Webcam window 
 
2017-11-29 12:57:24,459-INFO-Opening Webcam window 
 
2017-11-29 12:57:24,628-INFO-Opening Webcam window 
 
2017-11-29 12:57:24,802-INFO-Opening Webcam window 
 
2017-11-29 12:57:24,848-INFO-Increamenting attendence of Id 1 by 1 
 
2017-11-29 12:57:24,861-INFO-Face Detection module ends 
 
